time,gFx,gFy,gFz,TgF
0.002000,0.0227,0.9843,0.0472,0.986
0.003000,0.0198,0.9885,0.0403,0.990
0.003000,0.0151,0.9895,0.0298,0.990
0.003000,0.0169,0.9904,0.0232,0.991
0.004000,0.0222,0.9904,0.0213,0.991
0.004000,0.0291,0.9902,0.0200,0.991
0.004000,0.0344,0.9890,0.0208,0.990
0.007000,0.0428,0.9865,0.0210,0.988
0.009000,0.0462,0.9863,0.0217,0.988
0.010000,0.0498,0.9853,0.0213,0.987
0.011000,0.0474,0.9885,0.0191,0.990
0.013000,0.0435,0.9880,0.0159,0.989
0.015000,0.0408,0.9880,0.0147,0.989
0.017000,0.0330,0.9875,0.0110,0.988
0.019000,0.0259,0.9880,0.0139,0.988
0.024000,0.0232,0.9878,0.0166,0.988
0.024000,0.0210,0.9873,0.0235,0.988
0.025000,0.0213,0.9853,0.0332,0.986
0.027000,0.0210,0.9834,0.0379,0.984
0.029000,0.0217,0.9841,0.0467,0.985
0.031000,0.0227,0.9836,0.0537,0.985
0.033000,0.0225,0.9839,0.0611,0.986
0.035000,0.0220,0.9829,0.0645,0.985
0.038000,0.0208,0.9807,0.0665,0.983
0.039000,0.0217,0.9795,0.0628,0.982
0.041000,0.0237,0.9797,0.0616,0.982
0.043000,0.0254,0.9797,0.0581,0.982
0.045000,0.0291,0.9792,0.0523,0.981
0.047000,0.0347,0.9792,0.0476,0.981
0.049000,0.0379,0.9799,0.0452,0.982
0.051000,0.0420,0.9809,0.0391,0.983
0.053000,0.0447,0.9792,0.0352,0.981
0.056000,0.0464,0.9795,0.0337,0.981
0.057000,0.0501,0.9826,0.0318,0.984
0.059000,0.0498,0.9824,0.0279,0.984
0.062000,0.0469,0.9829,0.0210,0.984
0.063000,0.0457,0.9829,0.0183,0.984
0.065000,0.0440,0.9814,0.0144,0.982
0.067000,0.0425,0.9812,0.0098,0.982
0.069000,0.0418,0.9797,0.0083,0.981
0.074000,0.0410,0.9802,0.0071,0.981
0.075000,0.0435,0.9773,0.0117,0.978
0.075000,0.0447,0.9763,0.0142,0.977
0.077000,0.0467,0.9770,0.0193,0.978
0.079000,0.0498,0.9775,0.0261,0.979
0.081000,0.0525,0.9758,0.0313,0.978
0.083000,0.0525,0.9760,0.0354,0.978
0.085000,0.0516,0.9755,0.0374,0.978
0.088000,0.0472,0.9773,0.0359,0.979
0.090000,0.0450,0.9768,0.0366,0.978
0.091000,0.0423,0.9780,0.0357,0.980
0.093000,0.0379,0.9782,0.0352,0.980
0.095000,0.0354,0.9799,0.0357,0.981
0.097000,0.0296,0.9814,0.0349,0.982
0.099000,0.0254,0.9861,0.0344,0.987
0.101000,0.0213,0.9861,0.0366,0.987
0.103000,0.0193,0.9863,0.0366,0.987
0.105000,0.0193,0.9885,0.0366,0.989
0.107000,0.0181,0.9902,0.0369,0.991
0.109000,0.0191,0.9904,0.0369,0.991
0.111000,0.0217,0.9885,0.0406,0.990
0.113000,0.0257,0.9878,0.0401,0.989
0.115000,0.0279,0.9878,0.0366,0.989
0.117000,0.0281,0.9882,0.0354,0.989
0.120000,0.0320,0.9897,0.0327,0.991
0.122000,0.0340,0.9892,0.0296,0.990
0.123000,0.0332,0.9900,0.0276,0.991
0.125000,0.0322,0.9902,0.0269,0.991
0.127000,0.0301,0.9904,0.0271,0.991
0.129000,0.0308,0.9890,0.0257,0.990
0.131000,0.0327,0.9887,0.0239,0.990
0.133000,0.0340,0.9900,0.0257,0.991
0.135000,0.0376,0.9887,0.0293,0.990
0.139000,0.0401,0.9858,0.0322,0.987
0.140000,0.0428,0.9846,0.0357,0.986
0.141000,0.0432,0.9831,0.0335,0.985
0.143000,0.0428,0.9831,0.0340,0.985
0.145000,0.0440,0.9824,0.0335,0.984
0.147000,0.0420,0.9809,0.0296,0.982
0.149000,0.0398,0.9797,0.0257,0.981
0.151000,0.0406,0.9785,0.0232,0.980
0.153000,0.0408,0.9782,0.0178,0.979
0.155000,0.0445,0.9777,0.0159,0.979
0.157000,0.0467,0.9768,0.0151,0.978
0.159000,0.0533,0.9743,0.0149,0.976
0.161000,0.0579,0.9729,0.0149,0.975
0.163000,0.0608,0.9702,0.0171,0.972
0.165000,0.0608,0.9692,0.0169,0.971
0.167000,0.0584,0.9663,0.0205,0.968
0.169000,0.0579,0.9665,0.0239,0.969
0.173000,0.0572,0.9677,0.0232,0.970
0.174000,0.0559,0.9687,0.0264,0.971
0.175000,0.0545,0.9709,0.0254,0.973
0.177000,0.0537,0.9724,0.0249,0.974
0.181000,0.0537,0.9738,0.0225,0.976
0.182000,0.0550,0.9736,0.0235,0.975
0.183000,0.0564,0.9765,0.0232,0.978
0.185000,0.0564,0.9780,0.0252,0.980
0.188000,0.0562,0.9797,0.0239,0.982
0.189000,0.0523,0.9834,0.0230,0.985
0.191000,0.0484,0.9846,0.0225,0.986
0.194000,0.0454,0.9878,0.0217,0.989
0.195000,0.0396,0.9890,0.0193,0.990
0.197000,0.0369,0.9897,0.0186,0.991
0.199000,0.0315,0.9924,0.0203,0.993
0.201000,0.0283,0.9914,0.0217,0.992
0.204000,0.0259,0.9934,0.0244,0.994
0.206000,0.0242,0.9926,0.0242,0.993
0.207000,0.0222,0.9922,0.0276,0.993
0.209000,0.0225,0.9929,0.0318,0.994
0.211000,0.0232,0.9922,0.0330,0.993
0.213000,0.0247,0.9900,0.0354,0.991
0.215000,0.0301,0.9868,0.0354,0.988
0.217000,0.0337,0.9839,0.0362,0.985
0.219000,0.0371,0.9834,0.0359,0.985
0.222000,0.0415,0.9821,0.0335,0.984
0.223000,0.0440,0.9821,0.0296,0.984
0.225000,0.0442,0.9804,0.0281,0.982
0.227000,0.0454,0.9780,0.0235,0.979
0.229000,0.0467,0.9765,0.0220,0.978
0.231000,0.0459,0.9765,0.0200,0.978
0.233000,0.0418,0.9753,0.0188,0.976
0.235000,0.0413,0.9743,0.0169,0.975
0.238000,0.0423,0.9724,0.0171,0.973
0.239000,0.0440,0.9711,0.0173,0.972
0.242000,0.0476,0.9711,0.0159,0.972
0.243000,0.0506,0.9704,0.0195,0.972
0.245000,0.0516,0.9694,0.0210,0.971
0.247000,0.0537,0.9711,0.0264,0.973
0.249000,0.0540,0.9731,0.0359,0.975
0.251000,0.0550,0.9738,0.0432,0.976
0.253000,0.0547,0.9755,0.0454,0.978
0.255000,0.0518,0.9807,0.0491,0.983
0.258000,0.0464,0.9829,0.0520,0.985
0.259000,0.0430,0.9839,0.0516,0.986
0.261000,0.0386,0.9858,0.0479,0.988
0.263000,0.0335,0.9875,0.0428,0.989
0.265000,0.0315,0.9904,0.0388,0.992
0.267000,0.0303,0.9912,0.0276,0.992
0.269000,0.0315,0.9912,0.0210,0.992
0.274000,0.0315,0.9912,0.0166,0.992
0.274000,0.0325,0.9922,0.0166,0.993
0.275000,0.0357,0.9912,0.0161,0.992
0.277000,0.0384,0.9895,0.0151,0.990
0.279000,0.0432,0.9878,0.0144,0.989
0.282000,0.0489,0.9841,0.0269,0.986
0.283000,0.0550,0.9792,0.0398,0.982
0.285000,0.0596,0.9780,0.0577,0.981
0.288000,0.0530,0.9792,0.0660,0.983
0.290000,0.0357,0.9851,0.0691,0.988
0.292000,0.0183,0.9880,0.0552,0.990
0.293000,0.0110,0.9895,0.0459,0.991
0.295000,-0.0020,0.9922,0.0340,0.993
0.297000,-0.0015,0.9924,0.0276,0.993
0.299000,0.0032,0.9904,0.0257,0.991
0.302000,0.0186,0.9870,0.0259,0.988
0.305000,0.0242,0.9851,0.0283,0.986
0.306000,0.0342,0.9797,0.0305,0.981
0.307000,0.0391,0.9782,0.0303,0.979
0.309000,0.0445,0.9780,0.0301,0.979
0.311000,0.0484,0.9792,0.0315,0.981
0.313000,0.0491,0.9782,0.0288,0.980
